Year,Entiteit,Entité,Entity,Month,Number of imputed minutes of delay on passenger trains,Imputation in %
2022,Infrabel,Infrabel,Infrabel,2022-11,40066,24.199120603015082
2022,NMBS,SNCB,SNCB,2022-01,35837,37.74660052032315
2022,NMBS,SNCB,SNCB,2022-05,49534,29.987528907508082
2022,NMBS,SNCB,SNCB,2022-08,47080,38.61801955508892
2022,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2022-01,3701,3.8982104675535334
2022,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2022-03,8627,5.551765856672158
2022,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2022-07,4582,3.1415407399281463
2022,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2022-10,5630,2.8903366241073583
2022,Toe te wijzen,A attribuer,To be imputed,2022-02,233,0.1684670223996067
2022,Toe te wijzen,A attribuer,To be imputed,2022-06,273,0.14205432407118332
2023,Derden,Tiers,Third parties,2023-03,64339,37.16439463955638
2023,Infrabel,Infrabel,Infrabel,2023-01,23498,15.525295170891889
2023,Infrabel,Infrabel,Infrabel,2023-02,51504,26.70981392743793
2023,Infrabel,Infrabel,Infrabel,2023-03,33454,19.32416820702403
2023,Infrabel,Infrabel,Infrabel,2023-04,26466,16.65628245067498
2023,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2023-03,11858,6.849584103512014
2023,Andere spooroperatoren,Autres opérateurs ferroviaires,Other railway undertakings,2023-04,6775,4.263822020831367
2023,Toe te wijzen,A attribuer,To be imputed,2023-02,497,0.2577426514821499
